"spcode6","sci_name","plantfgroup","site_id","annual_rainfall_mm","layer_abundance","nitrogen_per","phosphorus_per","potassium_per","calcium_per","magnesium_per","sodium_per"
"sol inc","Solanum incanum","forb","1",681,27,2.42,0.334,3.139,0.382,0.18,0.01
"chl pyc","Chloris pycnothrix","grass","1",681,18,2.45,0.438,2.175,0.375,0.185,0.038
"dig aby","Digitaria abyssinica","grass","1",681,18,2.18,0.535,3.004,0.36,0.223,0.027
"cyn dac","Cynodon dactylon","grass","1",681,17,2.01,0.453,1.9,0.498,0.197,0.066
"leu urt","Leucas urticifolia ","forb","1",681,17,2.58,0.641,5.109,0.905,0.363,0.06
"spo fim","Sporobolus fimbriatus","grass","1",681,9,1.47,0.663,2.233,0.334,0.125,0.018
"dig mac","Digitaria macroblephara","grass","2",742,44,1.69,0.702,3.186,0.411,0.286,0.011
"har sch","Harpachne schimperi","grass","2",742,22,1.49,0.527,1.457,0.276,0.144,0.008
"eus pas","Eustachys paspaloides","grass","2",742,18,1.35,0.65,2.471,0.338,0.139,0.011
"spo sta","Sporobolus stapfianus","grass","2",742,10,1.35,0.327,1.813,0.26,0.181,0.009
"her uhl","Hermannia uhligii","forb","2",742,9,1.85,0.289,1.944,0.861,0.387,0.043
"oci kil","Ocimum kilimandscharicum","forb","2",742,7,2.85,0.498,4.294,1.087,0.37,0.008
"meg max","Megathyrsus maximus","grass","2",742,6,1.73,0.441,2.824,0.435,0.275,0.01
"ind vol","Indigofera volkensii","forb","2",742,2,2.48,0.173,1.819,6.45,0.65,0.006
"cyn dac","Cynodon dactylon","grass","3",797,22,2.01,0.302,2.315,0.426,0.182,0.017
"jus sp1","Justicia species1","forb","3",797,18,2.81,0.415,3.856,3.828,0.975,0.022
"uro sem","Urochloa semiundulata","grass","3",797,16,2.03,0.48,1.879,0.436,0.304,0.026
"ari pil","Aristida pilgeri","grass","3",797,15,1.33,0.214,1.094,0.236,0.099,0.008
"bot ins","Bothriochloa insculpta","grass","3",797,14,1.91,0.301,1.999,0.333,0.105,0.021
"har sch","Harpachne schimperi","grass","3",797,13,1.65,0.418,1.51,0.39,0.15,0.028
"cen mez","Cenchrus mezianus","grass","3",797,10,1.82,0.41,3.956,0.354,0.174,0.028
"dig aby","Digitaria abyssinica","grass","3",797,9,2.3,0.646,3.178,0.416,0.22,0.029
"cen mez","Cenchrus mezianus","grass","4",797,48,1.54,0.553,2.992,0.317,0.194,0.5
"pan col","Panicum coloratum","grass","4",797,36,2.32,0.713,2.157,0.221,0.267,0.94
"bot ins","Bothriochloa insculpta","grass","4",797,29,1.89,0.389,1.75,0.34,0.172,0.017
"the tri","Themeda triandra","grass","4",797,28,1.62,0.319,1.398,0.257,0.174,0.064
"jus ans","Justicia anselliana","forb","4",797,15,2.54,0.282,3.291,3.4,1.99,1.776
"dig mac","Digitaria macroblephara","grass","5",805,42,1.87,0.396,3.797,0.364,0.237,0.026
"ind vol","Indigofera volkensii","forb","5",805,29,2.14,0.163,1.531,7.173,0.87,0.006
"har sch","Harpachne schimperi","grass","5",805,24,1.66,0.513,1.517,0.265,0.146,0.009
"tet rox","Tetrapogon roxburghiana","grass","5",805,22,1.66,0.448,2.866,0.33,0.167,0.023
"sol inc","Solanum incanum","forb","5",805,1,1.83,0.376,1.951,1.82,0.475,0.01
"the tri","Themeda triandra","grass","6",857,58,1.51,0.172,1.063,0.343,0.15,0.016
"har sch","Harpachne schimperi","grass","6",857,27,1.66,0.38,1.638,0.234,0.116,0.009
"meg max","Megathyrsus maximus","grass","6",857,24,2.21,0.25,3.242,0.347,0.317,0.018
"mac axi","Macrotyloma axillare","forb","6",857,22,2.83,0.266,2.305,0.85,0.391,0.01
"ari pil","Aristida pilgeri","grass","6",857,2,1.16,0.207,0.91,0.165,0.103,0.012
"dig mac","Digitaria macroblephara","grass","7",898,34,1.7,0.201,2.512,0.449,0.248,0.01
"het con","Heteropogon contortus","grass","7",898,30,1.37,0.146,1.276,0.384,0.132,0.031
"eus pas","Eustachys paspaloides","grass","7",898,22,1.57,0.25,2.178,0.358,0.149,0.009
